"8812f74","Samarth Mistry","Thu, 28 Jul 2022 13:43:23 +0530","Food Item CRUD done.",	 10 files changed, 250 insertions(+), 13 deletions(-)	
"030b681","Samarth Mistry","Thu, 28 Jul 2022 12:37:47 +0530","Dashboard bug resolved.",	 5 files changed, 92 insertions(+), 63 deletions(-)	
"a7ddea7","Samarth Mistry","Wed, 27 Jul 2022 23:41:13 +0530","Model and UI changes.",	 18 files changed, 285 insertions(+), 118 deletions(-)	
"9824efe","Samarth Mistry","Wed, 27 Jul 2022 13:06:26 +0530","Food CSV created.",	 1 file changed, 11 insertions(+)	
"11bb3ad","Samarth Mistry","Tue, 26 Jul 2022 10:42:59 +0530","H Table UI.",	 2 files changed, 6 insertions(+), 6 deletions(-)	
"05c0ed6","Samarth Mistry","Mon, 25 Jul 2022 22:52:06 +0530","Major UI changes.",	 14 files changed, 450 insertions(+), 514 deletions(-)	
"4ff78f5","Rohan Andharia","Mon, 25 Jul 2022 19:30:10 +0530","Table CRUD",	 7 files changed, 468 insertions(+), 18 deletions(-)	
"2d735f5","Rohan Andharia","Mon, 25 Jul 2022 16:10:29 +0530","password change for customer update",	 3 files changed, 9 insertions(+), 4 deletions(-)	
"441e59b","Samarth Mistry","Mon, 25 Jul 2022 11:31:20 +0530","Hotel table UI changed.",	 8 files changed, 209 insertions(+), 184 deletions(-)	
"9d28de4","Samarth Mistry","Mon, 25 Jul 2022 09:57:26 +0530","DB error resolved, 2 CRUD, h_table UI done and gitignore",	 8 files changed, 149 insertions(+), 1263 deletions(-)	
"6c9be67","Smitesh","Sun, 24 Jul 2022 17:22:09 +0100","committing two model",	 2 files changed, 17 insertions(+), 13 deletions(-)	
"9745f45","Samarth Mistry","Sun, 24 Jul 2022 22:05:26 +0530","Hotel table side UI done.",	 9 files changed, 230 insertions(+), 32 deletions(-)	
"67a2d6f","Rohan Andharia","Sun, 24 Jul 2022 17:05:39 +0530","UX",	 3 files changed, 9 insertions(+), 11 deletions(-)	
"263c5f7","Rohan Andharia","Sun, 24 Jul 2022 16:45:18 +0530","User block removed.",	 5 files changed, 33 insertions(+), 75 deletions(-)	
"c9ca87f","Rohan Andharai","Sun, 24 Jul 2022 16:26:58 +0530","Index listing.",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"f9199b7","Rohan Andharai","Sun, 24 Jul 2022 16:25:13 +0530","Edit hotel owner.",	 5 files changed, 31 insertions(+), 30 deletions(-)	
"42a06a1","Samarth Mistry","Sun, 24 Jul 2022 16:20:44 +0530","Create issue done.",	 3 files changed, 27 insertions(+), 29 deletions(-)	
"422cce8","Samarth Mistry","Sun, 24 Jul 2022 16:00:32 +0530","Btn UI changed",	 2 files changed, 3 insertions(+), 3 deletions(-)	
"35c1ad0","Samarth Mistry","Sun, 24 Jul 2022 15:54:23 +0530","Delete mechanism done.",	 3 files changed, 6 insertions(+), 547 deletions(-)	
"db3b253","Samarth Mistry","Sun, 24 Jul 2022 15:12:24 +0530","Create owner UI n URL",	 5 files changed, 71 insertions(+), 7 deletions(-)	
"e054e89","Rohan Andharai","Sun, 24 Jul 2022 13:31:16 +0530","minor changes",	 2 files changed, 45 insertions(+), 35 deletions(-)	
"91d4cb8","Smitesh","Sun, 24 Jul 2022 08:57:43 +0100","Item CRUD",	 10 files changed, 60 insertions(+), 113 deletions(-)	
"103e28d","Smitesh","Sun, 24 Jul 2022 08:57:09 +0100","smitesh conflict",	 2 files changed, 45 insertions(+)	
"4e159d6","Samarth Mistry","Sun, 24 Jul 2022 12:57:47 +0530","logo changed.",	 1 file changed, 1 insertion(+), 1 deletion(-)	
"c0d220f","Samarth Mistry","Sun, 24 Jul 2022 12:41:14 +0530","commit DB",	 1 file changed, 0 insertions(+), 0 deletions(-)	
"3fcac1a","Rohan Andharai","Sun, 24 Jul 2022 12:37:44 +0530","dashboard updated",	 3 files changed, 8 insertions(+), 7 deletions(-)	
